"SNP","PMID","Title","Date","Pvalue","ORvalue","Ethnicity","Patient group Size","Control group Size","Frequency","Text Evidence"
"rs10490924"," 23706946  ","Incidence of choroidal neovascularization in the fellow eye in the comparison of age-related macular degeneration treatments trials.","2013-05-22"," 0.35"," "," "," 362"," "," 55","+"
"rs11200638"," 23706946  ","Incidence of choroidal neovascularization in the fellow eye in the comparison of age-related macular degeneration treatments trials.","2013-05-22"," 0.35"," "," "," 362"," "," 42","+"
"rs2230199"," 23706946  ","Incidence of choroidal neovascularization in the fellow eye in the comparison of age-related macular degeneration treatments trials.","2013-05-22"," 0.35"," "," "," 362"," "," 18","+"
"rs11200638"," 23582991  ","Genetic influences on the outcome of anti-vascular endothelial growth factor treatment in neovascular age-related macular degeneration.","2013-04-09"," 0.001"," "," "," 224"," "," 42","+"
"rs10490924"," 23582991  ","Genetic influences on the outcome of anti-vascular endothelial growth factor treatment in neovascular age-related macular degeneration.","2013-04-09"," 0.002"," "," "," 224"," "," 55","+"
"rs17073641"," 23577725  ","Genetic factors in nonsmokers with age-related macular degeneration revealed through genome-wide gene-environment interaction analysis.",""," 2.73e-05","  0.57"," Caucasian"," 1207"," 686"," 2","+"
"rs17073641"," 23577725  ","Genetic factors in nonsmokers with age-related macular degeneration revealed through genome-wide gene-environment interaction analysis.",""," 0.00228","  1.42"," Caucasian"," 1207"," 686"," 2","+"
"rs1410996"," 23534868  ","CFH (rs1410996), HTRA1 (rs112000638) and ARMS2 (rs10490923) gene polymorphisms are associated with AMD risk in Spanish patients.","2013-03-27"," 0.01"," 2"," Spanish"," 91"," "," 15","+"
"rs10490923"," 23534868  ","CFH (rs1410996), HTRA1 (rs112000638) and ARMS2 (rs10490923) gene polymorphisms are associated with AMD risk in Spanish patients.","2013-03-27"," 0.001"," "," Spanish"," 91"," "," 2","+"
"rs112000638"," 23534868  ","CFH (rs1410996), HTRA1 (rs112000638) and ARMS2 (rs10490923) gene polymorphisms are associated with AMD risk in Spanish patients.","2013-03-27"," 0.001"," 6.2543"," Spanish"," 91"," "," 1","+"
"rs9621532"," 23422939  ","Influence of TIMP3/SYN3 polymorphisms on the phenotypic presentation of age-related macular degeneration.","2013-02-20"," 0.02"," "," "," "," "," 4","+"
"rs641153"," 23373431  ","Complement factor B polymorphism and the phenotype of early age-related macular degeneration.","2013-02-01"," 0.021"," "," Caucasian Central European"," 349"," "," 12","+"
"rs641153"," 23373431  ","Complement factor B polymorphism and the phenotype of early age-related macular degeneration.","2013-02-01"," 0.016"," "," Caucasian Central European"," 349"," "," 12","+"
"rs641153"," 23373431  ","Complement factor B polymorphism and the phenotype of early age-related macular degeneration.","2013-02-01"," 0.02"," "," Caucasian Central European"," 349"," "," 12","+"
"rs641153"," 23373431  ","Complement factor B polymorphism and the phenotype of early age-related macular degeneration.","2013-02-01"," 0.007"," "," Caucasian Central European"," 349"," "," 12","+"
"rs1061170"," 23362846  ","Association of single nucleotide polymorphisms in CFH, ARMS2 and HTRA1 genes with risk of age-related macular degeneration in Egyptian patients.","2013-01-30"," 0.017"," "," Egyptians Egyptian Caucasians"," 26"," 20"," 38","+"
"rs10490924"," 23362846  ","Association of single nucleotide polymorphisms in CFH, ARMS2 and HTRA1 genes with risk of age-related macular degeneration in Egyptian patients.","2013-01-30"," 0.017"," "," Egyptians Egyptian Caucasians"," 26"," 20"," 55","+"
"rs11200638"," 23362846  ","Association of single nucleotide polymorphisms in CFH, ARMS2 and HTRA1 genes with risk of age-related macular degeneration in Egyptian patients.","2013-01-30"," 0.017"," "," Egyptians Egyptian Caucasians"," 26"," 20"," 42","+"
"rs493258"," 23348725  ","Association of LIPC and advanced age-related macular degeneration.","2013-01-25"," 0.00963"," "," Caucasian"," 2159"," 1150"," 9","+"
"rs10468017"," 23348725  ","Association of LIPC and advanced age-related macular degeneration.","2013-01-25"," 0.048"," "," Caucasian"," 2159"," 1150"," 10","+"
"rs493258"," 23348725  ","Association of LIPC and advanced age-related macular degeneration.","2013-01-25"," 0.00448"," "," Caucasian"," 2159"," 1150"," 9","+"
"rs10468017"," 23348725  ","Association of LIPC and advanced age-related macular degeneration.","2013-01-25"," 0.015"," "," Caucasian"," 2159"," 1150"," 10","+"
"rs493258"," 23348725  ","Association of LIPC and advanced age-related macular degeneration.","2013-01-25"," 0.000121"," "," Caucasian"," 2159"," 1150"," 9","+"
"rs10468017"," 23348725  ","Association of LIPC and advanced age-related macular degeneration.","2013-01-25"," 0.00167"," "," Caucasian"," 2159"," 1150"," 10","+"
"rs3736265"," 23335958  ","DNA sequence variants in PPARGC1A, a gene encoding a coactivator of the ω-3 LCPUFA sensing PPAR-RXR transcription complex, are associated with NV AMD and AMD-associated loci in genes of complement and VEGF signaling pathways.","2013-01-15"," 0.003"," "," European"," 3"," "," 3","+"
"rs3774923"," 23335958  ","DNA sequence variants in PPARGC1A, a gene encoding a coactivator of the ω-3 LCPUFA sensing PPAR-RXR transcription complex, are associated with NV AMD and AMD-associated loci in genes of complement and VEGF signaling pathways.","2013-01-15"," 0.003"," "," European"," 3"," "," 1","+"
"rs3736265"," 23335958  ","DNA sequence variants in PPARGC1A, a gene encoding a coactivator of the ω-3 LCPUFA sensing PPAR-RXR transcription complex, are associated with NV AMD and AMD-associated loci in genes of complement and VEGF signaling pathways.","2013-01-15"," 0.005"," "," European"," 3"," "," 3","+"
"rs512559"," 23335958  ","DNA sequence variants in PPARGC1A, a gene encoding a coactivator of the ω-3 LCPUFA sensing PPAR-RXR transcription complex, are associated with NV AMD and AMD-associated loci in genes of complement and VEGF signaling pathways.","2013-01-15"," 0.005"," "," European"," 3"," "," 1","+"
"rs3736265"," 23335958  ","DNA sequence variants in PPARGC1A, a gene encoding a coactivator of the ω-3 LCPUFA sensing PPAR-RXR transcription complex, are associated with NV AMD and AMD-associated loci in genes of complement and VEGF signaling pathways.","2013-01-15"," 0.003"," "," European"," 3"," "," 3","+"
"rs3025033"," 23335958  ","DNA sequence variants in PPARGC1A, a gene encoding a coactivator of the ω-3 LCPUFA sensing PPAR-RXR transcription complex, are associated with NV AMD and AMD-associated loci in genes of complement and VEGF signaling pathways.","2013-01-15"," 0.003"," "," European"," 3"," "," 1","+"
"rs8192678"," 23335958  ","DNA sequence variants in PPARGC1A, a gene encoding a coactivator of the ω-3 LCPUFA sensing PPAR-RXR transcription complex, are associated with NV AMD and AMD-associated loci in genes of complement and VEGF signaling pathways.","2013-01-15"," 0.003"," "," European"," 3"," "," 1","+"
"rs10507386"," 23335958  ","DNA sequence variants in PPARGC1A, a gene encoding a coactivator of the ω-3 LCPUFA sensing PPAR-RXR transcription complex, are associated with NV AMD and AMD-associated loci in genes of complement and VEGF signaling pathways.","2013-01-15"," 0.003"," "," European"," 3"," "," 1","+"
"rs2075650"," 23326517  ","Insights into the genetic architecture of early stage age-related macular degeneration: a genome-wide association study meta-analysis.","2013-01-11"," 1.5e-31"," "," Sonic"," "," 484"," 7","+"
"rs2075650"," 23326517  ","Insights into the genetic architecture of early stage age-related macular degeneration: a genome-wide association study meta-analysis.","2013-01-11"," 4.3e-24"," "," Sonic"," "," 484"," 7","+"
"rs2075650"," 23326517  ","Insights into the genetic architecture of early stage age-related macular degeneration: a genome-wide association study meta-analysis.","2013-01-11"," 1.1e-06"," "," Sonic"," "," 484"," 7","+"
"rs2049622"," 23326517  ","Insights into the genetic architecture of early stage age-related macular degeneration: a genome-wide association study meta-analysis.","2013-01-11"," 8.9e-06"," "," Sonic"," "," 484"," 1","+"
"rs6721654"," 23326517  ","Insights into the genetic architecture of early stage age-related macular degeneration: a genome-wide association study meta-analysis.","2013-01-11"," 6.5e-06"," "," Sonic"," "," 484"," 1","+"
"rs621313"," 23326517  ","Insights into the genetic architecture of early stage age-related macular degeneration: a genome-wide association study meta-analysis.","2013-01-11"," 3.5e-06"," "," Sonic"," "," 484"," 1","+"
"rs11200638"," 23326481  ","Genetic and functional dissection of ARMS2 in age-related macular degeneration and polypoidal choroidal vasculopathy.","2013-01-09"," 0.001"," "," Caucasians Japanese Chinese"," 92"," 96"," 42","+"
"rs11200638"," 23326481  ","Genetic and functional dissection of ARMS2 in age-related macular degeneration and polypoidal choroidal vasculopathy.","2013-01-09"," 0.001"," "," Caucasians Japanese Chinese"," 92"," 96"," 42","+"
"rs10490924"," 23326481  ","Genetic and functional dissection of ARMS2 in age-related macular degeneration and polypoidal choroidal vasculopathy.","2013-01-09"," 0.001"," "," Caucasians Japanese Chinese"," 92"," 96"," 55","+"
"rs10490924"," 23302509  ","Mitochondrial DNA haplogroups confer differences in risk for age-related macular degeneration: a case control study.","2013-01-09"," 1e-05"," "," Caucasian"," 164"," "," 55","+"
"rs1061170"," 23302509  ","Mitochondrial DNA haplogroups confer differences in risk for age-related macular degeneration: a case control study.","2013-01-09"," 0.027"," "," Caucasian"," 164"," "," 38","+"
"rs5882"," 23274582  ","Different impact of high-density lipoprotein-related genetic variants on polypoidal choroidal vasculopathy and neovascular age-related macular degeneration in a Chinese Han population.","2012-12-26"," 0.000273"," "," Asian Chinese"," 250"," 204"," 5","+"
"rs5882"," 23274582  ","Different impact of high-density lipoprotein-related genetic variants on polypoidal choroidal vasculopathy and neovascular age-related macular degeneration in a Chinese Han population.","2012-12-26"," 0.048"," "," Asian Chinese"," 250"," 204"," 5","+"
"rs3025000"," 23149126  ","Variants in the VEGFA gene and treatment outcome after anti-VEGF treatment for neovascular age-related macular degeneration.","2012-11-11"," 0.0001"," "," "," 12"," "," 1","+"
"rs2285714"," 23112570  ","Suggestive association between PLA2G12A single nucleotide polymorphism rs2285714 and response to anti-vascular endothelial growth factor therapy in patients with exudative age-related macular degeneration.","2012-10-20"," 0.13"," "," "," 106"," "," 4","+"
"rs2285714"," 23112570  ","Suggestive association between PLA2G12A single nucleotide polymorphism rs2285714 and response to anti-vascular endothelial growth factor therapy in patients with exudative age-related macular degeneration.","2012-10-20"," 0.05"," "," "," 106"," "," 4","+"
"rs79"," 23112570  ","Suggestive association between PLA2G12A single nucleotide polymorphism rs2285714 and response to anti-vascular endothelial growth factor therapy in patients with exudative age-related macular degeneration.","2012-10-20"," 0.05"," "," "," 106"," "," 1","+"
"rs57"," 23112570  ","Suggestive association between PLA2G12A single nucleotide polymorphism rs2285714 and response to anti-vascular endothelial growth factor therapy in patients with exudative age-related macular degeneration.","2012-10-20"," 0.05"," "," "," 106"," "," 1","+"
"rs10490924"," 23098369  ","ARMS2 increases the risk of early and late age-related macular degeneration in the European Eye Study.","2012-10-23"," 3e-20"," "," "," "," "," 55","+"
"rs10490924"," 23098369  ","ARMS2 increases the risk of early and late age-related macular degeneration in the European Eye Study.","2012-10-23"," 0.001"," "," "," "," "," 55","+"
"rs4481157"," 23089144  ","An association of transferrin gene polymorphism and serum transferrin levels with age-related macular degeneration.","2012-10-23"," 0.05"," 0.50"," "," "," 30"," 3","+"
"rs4481157"," 23089144  ","An association of transferrin gene polymorphism and serum transferrin levels with age-related macular degeneration.","2012-10-23"," 0.05"," 1.07"," "," "," 30"," 3","+"
"rs8177178"," 23089144  ","An association of transferrin gene polymorphism and serum transferrin levels with age-related macular degeneration.","2012-10-23"," 0.001"," "," "," "," 30"," 1","+"
"rs4481157"," 23089144  ","An association of transferrin gene polymorphism and serum transferrin levels with age-related macular degeneration.","2012-10-23"," 0.01"," "," "," "," 30"," 3","+"
"rs2672598"," 23060141  ","Polymorphisms in ARMS2/HTRA1 and complement genes and age-related macular degeneration in India: findings from the INDEYE study.","2012-11-01"," 0.02"," "," European"," 3569"," "," 8","+"
"rs1531289"," 23030506  ","Single nucleotide polymorphism and serum levels of VEGFR2 are associated with age related macular degeneration.",""," 0.047"," 2.13"," Indian"," 176"," "," 1","+"
"rs754203"," 22977134  ","Single nucleotide polymorphism in the cholesterol-24S-hydroxylase (CYP46A1) gene and its association with CFH and LOC387715 gene polymorphisms in age-related macular degeneration.","2012-10-09"," 0.05"," 1.2"," "," 1388"," 487"," 3","+"
"rs754203"," 22977134  ","Single nucleotide polymorphism in the cholesterol-24S-hydroxylase (CYP46A1) gene and its association with CFH and LOC387715 gene polymorphisms in age-related macular degeneration.","2012-10-09"," 0.2"," "," "," 1388"," 487"," 3","+"
"rs10490924"," 22977134  ","Single nucleotide polymorphism in the cholesterol-24S-hydroxylase (CYP46A1) gene and its association with CFH and LOC387715 gene polymorphisms in age-related macular degeneration.","2012-10-09"," 0.0001"," "," "," 1388"," 487"," 55","+"
"rs1061170"," 22977134  ","Single nucleotide polymorphism in the cholesterol-24S-hydroxylase (CYP46A1) gene and its association with CFH and LOC387715 gene polymorphisms in age-related macular degeneration.","2012-10-09"," 0.0001"," "," "," 1388"," 487"," 38","+"
"rs754203"," 22977134  ","Single nucleotide polymorphism in the cholesterol-24S-hydroxylase (CYP46A1) gene and its association with CFH and LOC387715 gene polymorphisms in age-related macular degeneration.","2012-10-09"," 0.04"," "," "," 1388"," 487"," 3","+"
"rs13278062"," 22930721  ","Association of genetic variants on 8p21 and 4q12 with age-related macular degeneration in Asian populations.","2012-09-25"," 0.000112"," 0.79"," Asian"," 2360"," 3598"," 4","+"
"rs1713985"," 22930721  ","Association of genetic variants on 8p21 and 4q12 with age-related macular degeneration in Asian populations.","2012-09-25"," 0.05"," "," Asian"," 2360"," 3598"," 4","+"
"rs2071559"," 22919317  ","The rs2071559 AA VEGFR-2 genotype frequency is significantly lower in neovascular age-related macular degeneration patients.","2012-08-01"," 0.0095"," 0.42"," Italian"," 120"," 78"," 1","+"
"rs1061170"," 22905135  ","Association between variant Y402H in age-related macular degeneration (AMD) susceptibility gene CFH and treatment response of AMD: a meta-analysis.","2012-08-14"," 0.02"," "," "," 1510"," "," 38","+"
"rs1061170"," 22905135  ","Association between variant Y402H in age-related macular degeneration (AMD) susceptibility gene CFH and treatment response of AMD: a meta-analysis.","2012-08-14"," 0.011"," "," "," 1510"," "," 38","+"
"rs1410996"," 22800422  ","[Interaction of susceptibility genes in patients with exudative age-related macular degeneration].",""," 0.05"," "," Chinese"," 150"," 161"," 15","+"
"rs10490924"," 22800422  ","[Interaction of susceptibility genes in patients with exudative age-related macular degeneration].",""," 0.05"," "," Chinese"," 150"," 161"," 55","+"
"rs11200138"," 22800422  ","[Interaction of susceptibility genes in patients with exudative age-related macular degeneration].",""," 0.05"," "," Chinese"," 150"," 161"," 2","+"
"rs1410996"," 22800422  ","[Interaction of susceptibility genes in patients with exudative age-related macular degeneration].",""," 0.41"," "," Chinese"," 150"," 161"," 15","+"
"rs10490924"," 22800422  ","[Interaction of susceptibility genes in patients with exudative age-related macular degeneration].",""," 0.45"," "," Chinese"," 150"," 161"," 55","+"
"rs1410996"," 22800422  ","[Interaction of susceptibility genes in patients with exudative age-related macular degeneration].",""," 0.91"," "," Chinese"," 150"," 161"," 15","+"
"rs11200138"," 22800422  ","[Interaction of susceptibility genes in patients with exudative age-related macular degeneration].",""," 0.17"," "," Chinese"," 150"," 161"," 2","+"
"rs10490924"," 22705344  ","Heritability and genome-wide association study to assess genetic differences between advanced age-related macular degeneration subtypes.","2012-06-15"," 4.2e-05"," "," "," 5383"," 240"," 55","+"
"rs10490924"," 22705344  ","Heritability and genome-wide association study to assess genetic differences between advanced age-related macular degeneration subtypes.","2012-06-15"," 4.3e-09"," "," "," 5383"," 240"," 55","+"
"rs10490924"," 22705344  ","Heritability and genome-wide association study to assess genetic differences between advanced age-related macular degeneration subtypes.","2012-06-15"," 7.4e-14"," "," "," 5383"," 240"," 55","+"
"rs12153855"," 22694956  ","Genome-wide association study of age-related macular degeneration identifies associated variants in the TNXB-FKBPL-NOTCH4 region of chromosome 6p21.3.","2012-06-13"," 4.3e-07"," 1.4"," Western"," 1411"," 2199"," 2","+"
"rs9391734"," 22694956  ","Genome-wide association study of age-related macular degeneration identifies associated variants in the TNXB-FKBPL-NOTCH4 region of chromosome 6p21.3.","2012-06-13"," 0.0003"," 1.3"," Western"," 1411"," 2199"," 2","+"
"rs2071277"," 22694956  ","Genome-wide association study of age-related macular degeneration identifies associated variants in the TNXB-FKBPL-NOTCH4 region of chromosome 6p21.3.","2012-06-13"," 1.3e-09"," "," Western"," 1411"," 2199"," 1","+"
"rs10033900"," 22678500  ","Genetic factors for choroidal neovascularization associated with high myopia.","2012-07-27"," 0.0011"," "," Caucasian"," 71"," 196"," 4","+"
"rs10033900"," 22678500  ","Genetic factors for choroidal neovascularization associated with high myopia.","2012-07-27"," 0.041"," "," Caucasian"," 71"," 196"," 4","+"
"rs800292"," 22594510  ","Association of genetic polymorphisms with response to bevacizumab for neovascular age-related macular degeneration in the Chinese population.",""," 0.009"," "," "," "," "," 16","+"
"rs10490924"," 22594510  ","Association of genetic polymorphisms with response to bevacizumab for neovascular age-related macular degeneration in the Chinese population.",""," 0.001"," "," "," "," "," 55","+"
"rs11200638"," 22594510  ","Association of genetic polymorphisms with response to bevacizumab for neovascular age-related macular degeneration in the Chinese population.",""," 0.001"," "," "," "," "," 42","+"
"rs1061170"," 22552255  ","Retinal function and CFH-ARMS2 polymorphisms analysis: a pilot study in Italian AMD patients.","2012-05-01"," 0.01"," "," "," "," "," 38","+"
"rs10490924"," 22509112  ","Genetic associations in polypoidal choroidal vasculopathy: a systematic review and meta-analysis.","2012-04-04"," 1e-05"," 2.27"," "," "," "," 55","+"
"rs11200638"," 22509112  ","Genetic associations in polypoidal choroidal vasculopathy: a systematic review and meta-analysis.","2012-04-04"," 1e-05"," 2.72"," "," "," "," 42","+"
"rs1061170"," 22509112  ","Genetic associations in polypoidal choroidal vasculopathy: a systematic review and meta-analysis.","2012-04-04"," 1e-05"," 1.72"," "," "," "," 38","+"
"rs800292"," 22509112  ","Genetic associations in polypoidal choroidal vasculopathy: a systematic review and meta-analysis.","2012-04-04"," 1e-05"," 2.10"," "," "," "," 16","+"
"rs547154"," 22509112  ","Genetic associations in polypoidal choroidal vasculopathy: a systematic review and meta-analysis.","2012-04-04"," 0.01"," 0.56"," "," "," "," 12","+"
"rs10490924"," 22509112  ","Genetic associations in polypoidal choroidal vasculopathy: a systematic review and meta-analysis.","2012-04-04"," 1e-05"," 0.66"," "," "," "," 55","+"
"rs11200638"," 22491416  ","Differentiation of exudative age-related macular degeneration and polypoidal choroidal vasculopathy in the ARMS2/HTRA1 locus.","2012-05-31"," 0.001"," "," Chinese"," 164"," 248"," 42","+"
"rs11200638"," 22491416  ","Differentiation of exudative age-related macular degeneration and polypoidal choroidal vasculopathy in the ARMS2/HTRA1 locus.","2012-05-31"," 0.011"," "," Chinese"," 164"," 248"," 42","+"
"rs10490924"," 22491416  ","Differentiation of exudative age-related macular degeneration and polypoidal choroidal vasculopathy in the ARMS2/HTRA1 locus.","2012-05-31"," 0.077"," "," Chinese"," 164"," 248"," 55","+"
"rs1695"," 22487578  ","Association of glutathione S-transferase pi isoform single-nucleotide polymorphisms with exudative age-related macular degeneration in a Chinese population.",""," 0.019"," "," Chinese"," 131"," 138"," 3","+"
"rs1138272"," 22487578  ","Association of glutathione S-transferase pi isoform single-nucleotide polymorphisms with exudative age-related macular degeneration in a Chinese population.",""," 0.019"," "," Chinese"," 131"," 138"," 3","+"
"rs1695"," 22487578  ","Association of glutathione S-transferase pi isoform single-nucleotide polymorphisms with exudative age-related macular degeneration in a Chinese population.",""," 0.019"," "," Chinese"," 131"," 138"," 3","+"
"rs1138272"," 22487578  ","Association of glutathione S-transferase pi isoform single-nucleotide polymorphisms with exudative age-related macular degeneration in a Chinese population.",""," 1.0"," "," Chinese"," 131"," 138"," 3","+"
"rs1138272"," 22487578  ","Association of glutathione S-transferase pi isoform single-nucleotide polymorphisms with exudative age-related macular degeneration in a Chinese population.",""," 1.0"," "," Chinese"," 131"," 138"," 3","+"
"rs1695"," 22487578  ","Association of glutathione S-transferase pi isoform single-nucleotide polymorphisms with exudative age-related macular degeneration in a Chinese population.",""," 1.0"," "," Chinese"," 131"," 138"," 3","+"
"rs9332739"," 22440158  ","CFB/C2 gene polymorphisms and risk of age-related macular degeneration: a systematic review and meta-analysis.",""," 0.001"," "," Caucasians Caucasian"," 8905"," "," 2","+"
"rs547154"," 22440158  ","CFB/C2 gene polymorphisms and risk of age-related macular degeneration: a systematic review and meta-analysis.",""," 0.001"," "," Caucasians Caucasian"," 8905"," "," 12","+"
"rs4151667"," 22440158  ","CFB/C2 gene polymorphisms and risk of age-related macular degeneration: a systematic review and meta-analysis.",""," 0.001"," "," Caucasians Caucasian"," 8905"," "," 7","+"
"rs641153"," 22440158  ","CFB/C2 gene polymorphisms and risk of age-related macular degeneration: a systematic review and meta-analysis.",""," 0.008"," "," Caucasians Caucasian"," 8905"," "," 12","+"
"rs10753929"," 22387454  ","Adiponectin receptor 1 gene (ADIPOR1) variant is associated with advanced age-related macular degeneration in Finnish population.","2012-02-25"," 0.0471"," 1"," Adiponectin Finnish"," 111"," "," 1","+"
"rs1061170"," 22253316  ","Complement factor H genetic variant and age-related macular degeneration: effect size, modifiers and relationship to disease subtype.","2012-01-13"," 1.1e-161"," "," European"," 14174"," 26494"," 38","+"
"rs10468017"," 22247473  ","Prospective assessment of genetic effects on progression to different stages of age-related macular degeneration using multistate Markov models.","2012-03-21"," 0.04"," "," "," 2560"," "," 10","+"
"rs10468017"," 22247473  ","Prospective assessment of genetic effects on progression to different stages of age-related macular degeneration using multistate Markov models.","2012-03-21"," 0.07"," "," "," 2560"," "," 10","+"
"rs1883025"," 22247473  ","Prospective assessment of genetic effects on progression to different stages of age-related macular degeneration using multistate Markov models.","2012-03-21"," 0.0097"," "," "," 2560"," "," 5","+"
"rs1883025"," 22247473  ","Prospective assessment of genetic effects on progression to different stages of age-related macular degeneration using multistate Markov models.","2012-03-21"," 0.0052"," "," "," 2560"," "," 5","+"
"rs547154"," 22232432  ","Significance of C2/CFB variants in age-related macular degeneration and polypoidal choroidal vasculopathy in a Japanese population.","2012-02-16"," 0.05"," "," Japanese"," 336"," 865"," 12","+"
"rs541862"," 22232432  ","Significance of C2/CFB variants in age-related macular degeneration and polypoidal choroidal vasculopathy in a Japanese population.","2012-02-16"," 0.05"," "," Japanese"," 336"," 865"," 1","+"
"rs2241394"," 22174912  ","A common complement C3 variant is associated with protection against wet age-related macular degeneration in a Japanese population.","2011-12-12"," 0.000832"," 0.48"," Caucasian European Japanese Chinese Asian"," 420"," 197"," 2","+"
"rs2241394"," 22174912  ","A common complement C3 variant is associated with protection against wet age-related macular degeneration in a Japanese population.","2011-12-12"," 0.000832"," "," Caucasian European Japanese Chinese Asian"," 420"," 197"," 2","+"
"rs9621532"," 22171703  ","An rs9621532 variant near the TIMP3 gene is not associated with neovascular age-related macular degeneration and polypoidal choroidal vasculopathy in a Chinese Han population.","2011-12-15"," 0.1773"," "," Asian Caucasian Chinese"," 195"," 181"," 4","+"
"rs9621532"," 22171703  ","An rs9621532 variant near the TIMP3 gene is not associated with neovascular age-related macular degeneration and polypoidal choroidal vasculopathy in a Chinese Han population.","2011-12-15"," 0.6933"," "," Asian Caucasian Chinese"," 195"," 181"," 4","+"
"rs2301995"," 22065928  ","Analysis of candidate genes for age-related macular degeneration subtypes in the Japanese population.","2011-10-22"," 0.022"," "," Japanese"," 685"," 277"," 7","+"
"rs1801133"," 22065928  ","Analysis of candidate genes for age-related macular degeneration subtypes in the Japanese population.","2011-10-22"," 0.0025"," "," Japanese"," 685"," 277"," 1","+"
"rs6982567"," 22049084  ","High temperature requirement factor A1 (HTRA1) gene regulates angiogenesis through transforming growth factor-β family member growth differentiation factor 6.","2011-11-02"," 3.54e-08"," "," "," "," "," 2","+"
"rs2301995"," 22003121  ","Association of elastin gene polymorphism to age-related macular degeneration and polypoidal choroidal vasculopathy.","2011-11-11"," 0.018"," "," Japanese Haplotype"," 1296"," 478"," 7","+"
"rs2301995"," 22003121  ","Association of elastin gene polymorphism to age-related macular degeneration and polypoidal choroidal vasculopathy.","2011-11-11"," 0.0018"," "," Japanese Haplotype"," 1296"," 478"," 7","+"
"rs2301995"," 22003121  ","Association of elastin gene polymorphism to age-related macular degeneration and polypoidal choroidal vasculopathy.","2011-11-11"," 0.0003"," "," Japanese Haplotype"," 1296"," 478"," 7","+"
"rs3826945"," 22003108  ","Complement factor D in age-related macular degeneration.","2011-11-11"," 0.028"," 1.44"," "," 751"," 474"," 2","+"
"rs3826945"," 22003108  ","Complement factor D in age-related macular degeneration.","2011-11-11"," 0.032"," 1.11"," "," 751"," 474"," 2","+"
"rs1387665"," 21998696  ","Influence of ROBO1 and RORA on risk of age-related macular degeneration reveals genetically distinct phenotypes in disease pathophysiology.","2011-10-06"," 0.028"," "," Greek"," 293"," 1070"," 1","+"
"rs9309833"," 21998696  ","Influence of ROBO1 and RORA on risk of age-related macular degeneration reveals genetically distinct phenotypes in disease pathophysiology.","2011-10-06"," 0.0006"," "," Greek"," 293"," 1070"," 2","+"
"rs9309833"," 21998696  ","Influence of ROBO1 and RORA on risk of age-related macular degeneration reveals genetically distinct phenotypes in disease pathophysiology.","2011-10-06"," 0.05"," "," Greek"," 293"," 1070"," 2","+"
"rs8034864"," 21998696  ","Influence of ROBO1 and RORA on risk of age-related macular degeneration reveals genetically distinct phenotypes in disease pathophysiology.","2011-10-06"," 0.05"," "," Greek"," 293"," 1070"," 1","+"
"rs800292"," 21909106  ","Genome-wide association study identifies two susceptibility loci for exudative age-related macular degeneration in the Japanese population.","2011-09-11"," 4.23e-15"," 0.73"," Japanese"," "," 18894"," 16","+"
"rs3750847"," 21909106  ","Genome-wide association study identifies two susceptibility loci for exudative age-related macular degeneration in the Japanese population.","2011-09-11"," 8.67e-29"," 1.30"," Japanese"," "," 18894"," 1","+"
"rs13278062"," 21909106  ","Genome-wide association study identifies two susceptibility loci for exudative age-related macular degeneration in the Japanese population.","2011-09-11"," 1.03e-12"," "," Japanese"," "," 18894"," 4","+"
"rs1713985"," 21909106  ","Genome-wide association study identifies two susceptibility loci for exudative age-related macular degeneration in the Japanese population.","2011-09-11"," 2.34e-08"," "," Japanese"," "," 18894"," 4","+"
"rs1413711"," 21881842  ","Homozygosity for the +674C>T polymorphism on VEGF gene is associated with age-related macular degeneration in a Brazilian cohort.","2011-09-01"," 0.002"," "," Brazilian"," "," 140"," 1","+"
"rs1061170"," 21856016  ","Association assessment of copy number polymorphism and risk of age-related macular degeneration.",""," 1.3e-13"," 0.25"," Caucasians"," 421"," "," 38","+"
"rs1410996"," 21856016  ","Association assessment of copy number polymorphism and risk of age-related macular degeneration.",""," 1.3e-13"," "," Caucasians"," 421"," "," 15","+"
"rs699946"," 21744122  ","VEGF gene polymorphism and response to intravitreal bevacizumab and triple therapy in age-related macular degeneration.","2011-07-09"," 0.044"," "," "," 79"," "," 1","+"
"rs1999930"," 21665990  ","Common variants near FRK/COL10A1 and VEGFA are associated with advanced age-related macular degeneration.","2011-06-10"," 1.1e-08"," 0.87"," "," 5640"," 174"," 1","+"
"rs4711751"," 21665990  ","Common variants near FRK/COL10A1 and VEGFA are associated with advanced age-related macular degeneration.","2011-06-10"," 8.7e-09"," 1.15"," "," 5640"," 174"," 1","+"
"rs10490924"," 21621535  ","No association between the T280M polymorphism of the CX3CR1 gene and exudative AMD.","2011-05-20"," 0.0001"," "," French"," 1093"," 396"," 55","+"
"rs10490924"," 21541267  ","Complement factor B polymorphism 32W protects against age-related macular degeneration.","2011-04-20"," 0.05"," 0.64"," "," 367"," 251"," 55","+"
"rs10490924"," 21541267  ","Complement factor B polymorphism 32W protects against age-related macular degeneration.","2011-04-20"," 0.05"," 0.53"," "," 367"," 251"," 55","+"
"rs2511989"," 21526158  ","Association between the SERPING1 gene and age-related macular degeneration and polypoidal choroidal vasculopathy in Japanese.","2011-04-19"," 0.932"," "," Caucasians Japanese"," "," 2"," 14","+"
